,run,epcnt,intvl,pvtcnt,drop,wr_min,wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax,max_fin_dura,total_io_time
0,4,12,500000,256,0,644400,10400000,0.069,0,100482.0,101678.0,122005.0,123281.0,128082.0,128368.0,133120.0,133432.0,111217.0,111564.0,133791.0,134051.0,142442.0,142678.0,159748.0,159939.0,151359.0,151618.0,137958.0,138220.0,143551.0,143769.0,152974.0,153241.0,768.543,1622605.717
1,3,12,1000000,256,0,67800,8000000,0.091,0,91405.0,92225.0,129782.00000000001,130780.0,127522.0,127907.0,155539.0,155723.0,126322.0,126473.0,137239.0,137443.0,150689.0,150915.0,136027.0,136204.0,150523.0,150651.0,143431.0,143670.0,149223.0,149486.0,131130.0,131401.0,701.4110000000001,1633577.923
2,4,12,250000,256,0,116800,8300000,0.064,0,78194.0,114643.0,91704.0,129745.0,110282.0,112969.0,131774.0,133542.0,139763.0,140591.0,143972.0,144206.0,124732.0,124951.0,138245.0,138451.0,145063.0,145317.0,144028.0,144266.0,156834.0,157101.0,133728.0,134163.0,857.462,1620802.692
3,3,12,750000,4096,0,4099999,8100000,0.053,0,116134.0,116282.0,138640.0,138808.0,154453.0,154739.0,162461.0,162655.0,182501.0,182879.0,149419.0,149844.0,125766.0,126044.0,142624.0,142895.0,137246.0,137416.0,153721.0,154051.0,161960.0,162293.0,148237.0,148359.0,5136.946,1781402.5119999999
4,3,12,250000,256,0,51500,9200000,0.124,0,106772.0,152086.0,129033.99999999999,174328.0,123842.0,124207.0,128094.0,128441.0,137123.0,137422.0,154138.0,154435.0,134628.0,134869.0,144064.0,144364.0,164341.0,164612.0,145043.0,145436.0,140847.0,141300.0,160916.0,161219.0,1202.848,1763920.02
5,4,12,250000,2048,0,5500000,8300000,0.041,0,105999.0,106176.0,125496.0,125849.0,146344.0,146650.0,174627.0,174878.0,154483.0,154703.0,151474.0,151635.0,142588.0,142689.0,146561.0,146671.0,183413.0,183546.0,138533.0,138778.0,175776.0,175955.0,136695.0,136868.0,6200.947,1790599.6190000002
6,3,12,1000000,1024,0,2900000,7500000,0.063,0,103954.0,104157.0,137079.0,137305.0,128818.99999999999,130265.99999999999,135034.0,136549.0,144283.0,144638.0,138685.0,138993.0,130467.00000000001,130722.00000000001,134316.0,134535.0,172712.0,172906.0,130145.99999999999,130402.99999999999,189390.0,189604.0,136566.0,136911.0,1340.548,1688328.708
7,4,12,250000,4096,0,4900000,7300000,0.043,0,101777.0,102079.0,165594.0,165874.0,135268.0,135510.0,162579.0,162798.0,171535.0,171647.0,212975.0,213311.0,137070.0,137416.0,180426.0,180631.0,139060.0,139287.0,144821.0,145047.0,159186.0,159353.0,138151.0,138511.0,797.982,1852263.434
8,3,12,250000,512,0,1700000,8500000,0.041,0,110491.0,110671.0,126084.0,126301.0,135779.0,136048.0,145971.0,146205.0,142811.0,143073.0,161617.0,161962.0,139170.0,139408.0,150399.0,150553.0,178640.0,178852.0,130604.00000000001,130869.0,159801.0,160015.0,164509.0,164787.0,778.5229999999999,1749522.345
9,3,12,500000,512,0,1500000,8300000,0.059,0,100626.0,100794.0,140852.0,141217.0,151820.0,152113.0,125225.0,125429.0,165119.0,165365.0,146561.0,146956.0,123331.0,123594.0,143057.0,143461.0,133131.0,133528.0,123586.0,123748.0,142655.0,142835.0,195902.0,196188.0,711.923,1695939.729
10,4,12,500000,512,0,4000000,8500000,0.032,0,101038.0,101281.0,175753.0,176003.0,142888.0,143195.0,143670.0,143961.0,154289.0,154477.0,149783.0,150019.0,135993.0,136184.0,169332.0,169563.0,150481.0,150880.0,179803.0,180178.0,152877.0,153080.0,165055.0,165264.0,805.034,1824888.8320000002
11,4,12,500000,2048,0,3800000,9300000,0.048,0,95250.0,95479.0,136261.0,136484.0,133387.0,133560.0,117174.0,117362.0,144901.0,145079.0,135342.0,135464.0,163420.0,163579.0,165887.0,166113.0,151268.0,151571.0,135257.0,135532.0,131929.0,132149.0,136605.0,136789.0,710.544,1649871.341
12,3,12,1000000,4096,0,4500000,8700000,0.043,0,85088.0,88347.0,144276.0,147541.0,144773.0,145072.0,144308.0,144828.0,142859.0,143294.0,150821.0,151025.0,127014.0,127236.0,148135.0,148449.0,151186.0,151509.0,165947.0,166156.0,148725.0,148868.0,137993.0,138208.0,975.8480000000001,1701510.38
13,4,12,250000,512,0,917500,8100000,0.126,0,100778.0,101710.0,157187.0,158091.0,145210.0,145515.0,140100.0,140411.0,156126.0,156368.0,148685.0,148922.0,142478.0,142675.0,190448.0,190814.0,156029.0,156392.0,144708.0,144867.0,150521.0,150684.0,146932.0,147183.0,895.3109999999999,1784528.624
14,4,12,250000,1024,0,3400000,7600000,0.037,0,107041.0,107247.0,110950.0,111146.0,133755.0,133935.0,142728.0,142980.0,156690.0,156928.0,147073.0,147301.0,149436.0,149616.0,180861.0,181046.0,154928.0,155116.0,140612.0,140837.0,143927.0,144168.0,159420.0,159627.0,608.024,1730554.0599999998
15,4,12,500000,1024,0,3900000,7800000,0.033,0,103714.0,103972.0,132583.0,132889.0,177609.0,178024.0,133524.0,133876.0,136361.0,136819.0,137964.0,138404.0,139404.0,139941.0,135041.0,135600.0,173448.0,173811.0,149725.0,149946.0,136689.0,136965.0,140030.0,140347.0,978.157,1701572.545
16,4,12,500000,4096,0,4099999,8000000,0.047,0,100155.0,100400.0,162692.0,163013.0,154049.0,154194.0,138975.0,139178.0,143180.0,143370.0,160946.0,161108.0,147603.0,147890.0,149609.0,149844.0,127632.0,127875.0,147762.0,148014.0,157534.0,157689.0,133997.0,134287.0,1005.871,1727868.319
17,4,12,250000,8192,0,5300000,9900000,0.034,0,101515.0,101755.0,120190.0,121061.0,145419.0,146307.0,136643.0,136822.0,134761.0,134962.0,159136.0,159325.0,144958.0,145120.0,168451.0,168659.0,142662.0,142951.0,137988.0,138203.0,139361.0,139594.0,148679.0,148962.0,806.736,1684527.401
