,runtype,run,nranks,epcnt,epoch1_wr_min,epoch1_wr_max,load_std,wr_dropped,epoch1_tmin,epoch1_tmax,max_fin_dura,total_io_time,epoch2_wr_min,epoch2_wr_max,epoch3_wr_min,epoch3_wr_max,epoch4_wr_min,epoch4_wr_max,epoch5_wr_min,epoch5_wr_max,epoch6_wr_min,epoch6_wr_max,epoch7_wr_min,epoch7_wr_max,epoch8_wr_min,epoch8_wr_max,epoch9_wr_min,epoch9_wr_max,epoch10_wr_min,epoch10_wr_max,epoch11_wr_min,epoch11_wr_max,epoch2_tmin,epoch2_tmax,epoch3_tmin,epoch3_tmax,epoch4_tmin,epoch4_tmax,epoch5_tmin,epoch5_tmax,epoch6_tmin,epoch6_tmax,epoch7_tmin,epoch7_tmax,epoch8_tmin,epoch8_tmax,epoch9_tmin,epoch9_tmax,epoch10_tmin,epoch10_tmax,epoch11_tmin,epoch11_tmax,epoch12_tmin,epoch12_tmax
0,dfs-ioonly,18,1024,1,3300000,3300000,0,0,3010.0,63618.0,46480.149,110097.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,dfs-ioonly,44,32,12,6500000,6500000,0,0,,,1420.028,88872.76199999999,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6369.0,7350.0,6491.0,7353.0,6375.0,7262.0,6382.0,7313.0,6451.0,7329.0,6558.0,7389.0,6327.0,7304.0,6367.0,7332.0,6448.0,7288.0,6312.0,7337.0,6500.0,7218.0
2,dfs-ioonly,13,128,6,6500000,6500000,0,0,5997.0,7063.0,19099.004999999997,128207.569,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,6203.0,7494.0,5892.0,21350.0,5673.0,22886.0,5871.0,27264.0,5607.0,23051.0,,,,,,,,,,,,
3,dfs-ioonly,45,128,6,6500000,6500000,0,0,5798.0,7090.0,17736.884,173716.028,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,6160.0,14269.0,5437.0,24047.0,5716.0,27523.0,5306.0,46180.0,5698.0,36870.0,,,,,,,,,,,,
4,dfs-ioonly,43,256,3,6500000,6500000,0,0,5699.0,6897.0,26433.663,174394.161,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,,,,,5216.0,62961.0,6213.0,78103.0,,,,,,,,,,,,,,,,,,
5,dfs-ioonly,42,64,12,6500000,6500000,0,0,,,8036.343000000001,96115.64199999999,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6426.0,7331.0,6421.0,7246.0,6175.0,7250.0,6391.0,7394.0,6464.0,7362.0,6405.0,7651.0,6282.0,7615.0,6287.0,7223.0,6438.0,7285.0,6317.0,7324.0,6313.0,7371.0
6,dfs-ioonly,20,64,12,6500000,6500000,0,0,,,8897.56,116749.069,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6338.0,7626.0,6209.0,7372.0,6122.0,7520.0,6142.0,7403.0,6032.0,9778.0,6076.0,11183.0,6226.0,9354.0,5701.0,11777.0,6315.0,9459.0,6203.0,9651.0,6178.0,9682.0
7,dfs-ioonly,12,256,3,6500000,6500000,0,0,3631.0,39600.0,72382.524,184329.6,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,,,,,5940.0,33515.0,5003.0,38831.0,,,,,,,,,,,,,,,,,,
8,dfs-ioonly,44,64,12,6500000,6500000,0,0,,,7416.7,95640.46,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6105.0,7310.0,6470.0,7262.0,6335.0,7584.0,6186.0,7423.0,6488.0,7430.0,6356.0,7290.0,6413.0,7434.0,6386.0,7164.0,6135.0,7345.0,6269.0,7312.0,6278.0,7738.0
9,dfs-ioonly,15,128,6,6500000,6500000,0,0,6043.0,6995.0,18072.876,135887.147,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,6353.0,11872.0,5613.0,18165.0,5797.0,14789.0,5655.0,33158.0,5568.0,32835.0,,,,,,,,,,,,
10,dfs-ioonly,42,32,12,6500000,6500000,0,0,,,212.94299999999998,87496.23300000001,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6377.0,7271.0,6262.0,7254.0,6419.0,7185.0,6169.0,7196.0,6477.0,7427.0,6540.0,7421.0,6228.0,7239.0,6448.0,7341.0,6470.0,7251.0,6212.0,7266.0,6466.0,7253.0
11,dfs-ioonly,12,1024,1,3300000,3300000,0,0,2983.0,59298.0,8282.613,67580.47600000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,dfs-ioonly,14,256,3,6500000,6500000,0,0,3887.0,33355.0,79503.962,189264.631,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,,,,,5920.0,35530.0,5778.0,40876.0,,,,,,,,,,,,,,,,,,
13,dfs-ioonly,19,256,3,6500000,6500000,0,0,5567.0,17101.0,53417.012,199032.949,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,,,,,6189.0,23859.0,5654.0,104656.0,,,,,,,,,,,,,,,,,,
14,dfs-ioonly,13,256,3,6500000,6500000,0,0,5111.0,23617.0,60051.661,184966.07,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,,,,,6054.0,36359.0,5321.0,64938.0,,,,,,,,,,,,,,,,,,
15,dfs-ioonly,44,512,1,6500000,6500000,0,0,4584.0,43312.0,27077.32,70389.29299999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,dfs-ioonly,43,32,12,6500000,6500000,0,0,,,258.50800000000004,87869.974,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6156.0,7388.0,6556.0,7297.0,6274.0,7283.0,6354.0,7713.0,6260.0,7339.0,6227.0,7386.0,6564.0,7276.0,6473.0,7279.0,6255.0,7197.0,6343.0,7348.0,6288.0,7239.0
17,dfs-ioonly,14,128,6,6500000,6500000,0,0,5827.0,8564.0,34185.674,117885.674,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,6267.0,9216.0,6106.0,9071.0,5673.0,11610.0,5815.0,17093.0,5914.0,28146.0,,,,,,,,,,,,
18,dfs-ioonly,11,512,1,6500000,6500000,0,0,5898.0,61287.0,12083.726,73370.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,dfs-ioonly,17,128,6,6500000,6500000,0,0,5938.0,7008.0,17761.54,175890.245,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,6173.0,14735.0,5466.0,21436.0,5779.0,34992.0,5722.0,36361.0,6343.0,43597.0,,,,,,,,,,,,
20,dfs-ioonly,42,128,6,6500000,6500000,0,0,6018.0,7023.0,8992.145,119173.647,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,6232.0,7546.0,5918.0,22451.0,5641.0,27709.0,5783.0,24153.0,5692.0,21300.0,,,,,,,,,,,,
21,dfs-ioonly,12,512,1,6500000,6500000,0,0,5941.0,64864.99999999999,19852.463,84717.88100000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,dfs-ioonly,16,128,6,6500000,6500000,0,0,5642.0,11866.0,20936.631999999998,145315.619,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,6136.0,10390.0,6062.0,13672.0,6135.0,22359.0,5980.0,27112.0,5624.0,38981.0,,,,,,,,,,,,
23,dfs-ioonly,19,32,12,6500000,6500000,0,0,,,258.671,86763.187,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6366.0,7373.0,6390.0,7266.0,6456.0,7231.0,6238.0,7172.0,6444.0,7319.0,6287.0,7121.0,6471.0,7140.0,6261.0,7204.0,6356.0,7214.0,6374.0,7221.0,6369.0,7210.0
24,dfs-ioonly,42,1024,1,3300000,3300000,0,0,3061.0,65041.0,17274.656,82315.81199999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,dfs-ioonly,43,64,12,6500000,6500000,0,0,,,8684.509,115175.06199999999,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6252.0,7386.0,6301.0,7374.0,6253.0,7428.0,6354.0,8284.0,5898.0,10941.0,6080.0,9383.0,6202.0,9868.0,6157.0,9744.0,6087.0,9599.0,6060.0,9759.0,6389.0,9745.0
26,dfs-ioonly,45,32,12,6500000,6500000,0,0,,,241.22299999999998,86935.708,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6137.0,7365.0,6498.0,7440.0,6026.0,7188.0,6259.0,7203.0,6332.0,7222.0,6457.0,7222.0,6422.0,7291.0,6446.0,7200.0,6482.0,7240.0,6428.0,7068.0,6323.0,7322.0
27,dfs-ioonly,41,256,3,6500000,6500000,0,0,3232.0,21442.0,27039.315,99410.842,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,,,,,5747.0,25820.0,5742.0,25110.0,,,,,,,,,,,,,,,,,,
28,dfs-ioonly,16,32,12,6500000,6500000,0,0,,,266.92900000000003,88160.076,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6423.0,7359.0,6320.0,7473.0,6142.0,7408.0,6303.0,7237.0,6326.0,7403.0,6440.0,7284.0,6347.0,7238.0,5930.0,7488.0,6312.0,7168.0,6314.0,7365.0,6236.0,7472.0
29,dfs-ioonly,20,512,1,6500000,6500000,0,0,5422.0,50876.0,27776.553,78652.787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,dfs-ioonly,42,256,3,6500000,6500000,0,0,5828.0,6872.0,19013.587,86766.545,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,,,,,6002.0,14241.0,4344.0,46640.0,,,,,,,,,,,,,,,,,,
31,dfs-ioonly,41,64,12,6500000,6500000,0,0,,,9107.979,136159.542,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6525.0,7454.0,6468.0,7386.0,6201.0,10957.0,5822.0,12155.0,5802.0,12719.0,5968.0,12455.0,5938.0,10545.0,5885.0,12210.0,6025.0,10444.0,5923.0,12515.0,6319.0,11171.0
32,dfs-ioonly,15,256,3,6500000,6500000,0,0,4857.0,19516.0,45994.693,176023.12699999998,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,,,,,5457.0,23981.0,5172.0,86531.0,,,,,,,,,,,,,,,,,,
33,dfs-ioonly,17,32,12,6500000,6500000,0,0,,,236.794,87837.816,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6475.0,7374.0,6509.0,7355.0,6258.0,7231.0,6158.0,7184.0,6319.0,7440.0,6334.0,7209.0,6426.0,7331.0,6444.0,7279.0,6285.0,7397.0,6418.0,7295.0,6458.0,7418.0
34,dfs-ioonly,41,512,1,6500000,6500000,0,0,5702.0,45357.0,7193.082,52550.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,dfs-ioonly,15,512,1,6500000,6500000,0,0,5281.0,39777.0,14120.005000000001,53896.99800000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,dfs-ioonly,43,128,6,6500000,6500000,0,0,6154.0,6925.0,18140.703999999998,166817.082,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,6383.0,7504.0,5739.0,28262.0,5358.0,36077.0,5656.0,35194.0,5485.0,34715.0,,,,,,,,,,,,
37,dfs-ioonly,11,256,3,6500000,6500000,0,0,3647.0,22120.0,18306.217,125823.318,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,,,,,6076.0,19801.0,4814.0,65596.0,,,,,,,,,,,,,,,,,,
38,dfs-ioonly,41,128,6,6500000,6500000,0,0,5609.0,9353.0,10611.146,91161.053,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,6125.0,10494.0,6087.0,12351.0,5676.0,15686.0,5820.0,16794.0,5684.0,15873.0,,,,,,,,,,,,
39,dfs-ioonly,20,128,6,6500000,6500000,0,0,6007.0,6967.0,28034.275,135065.051,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,6252.0,13184.0,5359.0,18526.0,5660.0,16698.0,5597.0,17059.0,5648.0,34597.0,,,,,,,,,,,,
40,dfs-ioonly,14,1024,1,3300000,3300000,0,0,3080.0,59551.0,45364.565,104915.87800000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,dfs-ioonly,19,64,12,6500000,6500000,0,0,,,8418.742,132605.266,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6207.0,7571.0,6393.0,7314.0,6175.0,7419.0,5801.0,13206.0,5904.0,12419.0,6094.0,11916.0,6130.0,11324.0,6172.0,11638.0,6077.0,11169.0,5889.0,11291.0,6081.0,11896.0
42,dfs-ioonly,44,256,3,6500000,6500000,0,0,5915.0,6867.0,51973.807,164060.823,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,,,,,5956.0,32865.0,5308.0,72355.0,,,,,,,,,,,,,,,,,,
43,dfs-ioonly,18,64,12,6500000,6500000,0,0,,,8521.94,111506.548,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6348.0,7384.0,6276.0,7469.0,6467.0,7386.0,6438.0,7263.0,6188.0,9464.0,5900.0,9372.0,5986.0,9756.0,6126.0,9401.0,6160.0,9449.0,6191.0,9730.0,6201.0,9351.0
44,dfs-ioonly,44,128,6,6500000,6500000,0,0,5967.0,6981.0,28738.909,166444.506,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,6204.0,7357.0,5866.0,21152.0,5822.0,21694.0,5852.0,43855.0,5612.0,36665.0,,,,,,,,,,,,
45,dfs-ioonly,18,32,12,6500000,6500000,0,0,,,279.752,87556.122,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6342.0,7387.0,6405.0,7276.0,6432.0,7228.0,6388.0,7319.0,6350.0,7225.0,6408.0,7293.0,6321.0,7154.0,6490.0,7364.0,6216.0,7344.0,5999.0,7211.0,6128.0,7400.0
46,dfs-ioonly,16,1024,1,3300000,3300000,0,0,3019.0,48836.0,45133.999,93969.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,dfs-ioonly,45,512,1,6500000,6500000,0,0,5065.0,38673.0,15269.302,53942.335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,dfs-ioonly,20,1024,1,3300000,3300000,0,0,3062.0,53154.0,45474.176,98628.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,dfs-ioonly,45,256,3,6500000,6500000,0,0,5874.0,6915.0,18015.317,153685.007,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,,,,,5597.0,73082.0,5381.0,55672.0,,,,,,,,,,,,,,,,,,
50,dfs-ioonly,17,1024,1,3300000,3300000,0,0,2955.0,63318.0,26029.25,89347.408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,dfs-ioonly,18,512,1,6500000,6500000,0,0,4925.0,70757.0,19700.354,90456.943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,dfs-ioonly,12,128,6,6500000,6500000,0,0,5465.0,11006.0,24340.868000000002,142715.935,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,6232.0,10295.0,6011.0,10826.0,5751.0,16816.0,5653.0,35975.0,5920.0,33457.0,,,,,,,,,,,,
53,dfs-ioonly,19,1024,1,3300000,3300000,0,0,2971.0,48950.0,39755.336,88705.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,dfs-ioonly,13,1024,1,3300000,3300000,0,0,2847.0,46168.0,41694.240999999995,87861.80500000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,dfs-ioonly,42,512,1,6500000,6500000,0,0,5842.0,35542.0,19076.878,54619.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,dfs-ioonly,43,512,1,6500000,6500000,0,0,4195.0,51155.0,30684.636000000002,81839.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,dfs-ioonly,13,512,1,6500000,6500000,0,0,5567.0,54834.0,21454.326999999997,76288.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,dfs-ioonly,14,512,1,6500000,6500000,0,0,5391.0,46419.0,24659.468,71078.533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,dfs-ioonly,20,256,3,6500000,6500000,0,0,5642.0,17143.0,57322.928,173529.72199999998,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,,,,,5926.0,25866.0,5173.0,73197.0,,,,,,,,,,,,,,,,,,
60,dfs-ioonly,43,1024,1,3300000,3300000,0,0,2902.0,59555.0,10228.749,69783.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,dfs-ioonly,44,1024,1,3300000,3300000,0,0,2825.0,66890.0,15268.741,82158.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,dfs-ioonly,16,256,3,6500000,6500000,0,0,3680.0,23213.0,51775.781,138110.324,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,,,,,,,5667.0,29588.0,6182.0,33533.0,,,,,,,,,,,,,,,,,,
63,dfs-ioonly,18,128,6,6500000,6500000,0,0,6079.0,7015.0,25782.506,185648.566,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,6500000.0,,,,,,,,,,,6251.0,7384.0,5665.0,18580.0,5398.0,39907.0,5496.0,47105.0,5830.0,39874.0,,,,,,,,,,,,
